generic_name,openfda.brand_name,company_name,status,shortage_reason,therapeutic_category,dosage_form,initial_posting_date,update_date
Heparin Sodium Injection,['HEPARIN SODIUM'],"Fresenius Kabi USA, LLC",Current,Other,['Hematology'],Injection,11/14/2017,09/15/2026
Dextrose Monohydrate 10% Injection,['DEXTROSE'],Baxter Healthcare,Current,,"['Endocrinology/Metabolism', 'Gastroenterology', 'Other', 'Pediatric']",Injection,03/01/2022,09/17/2026
Somatropin Injection,['NORDITROPIN'],"Novo Nordisk, Inc.",To Be Discontinued,,['Endocrinology/Metabolism'],Injection,11/14/2025,11/14/2025
Methylprednisolone Acetate Injection,['DEPO-MEDROL'],Pfizer Inc.,Current,,['Rheumatology'],Injection,12/15/2021,09/21/2026
Midazolam Hydrochloride Injection,['MIDAZOLAM'],"Hospira, Inc., a Pfizer Company",Current,Demand increase for the drug,"['Anesthesia', 'Neurology']",Injection,04/02/2020,09/22/2026
Lisdexamfetamine Dimesylate Capsule,,"Lannett Company, Inc.",Current,,['Psychiatry'],Capsule,07/14/2023,09/15/2026
Frovatriptan Succinate Tablet,,"Endo Pharmaceuticals, Inc.",To Be Discontinued,,['Neurology'],Tablet,02/24/2026,02/24/2026
Desmopressin Acetate Spray,,Apotex Corp.,Current,,['Hematology'],Spray,03/12/2021,09/16/2026
Atropine Sulfate Injection,['ATROPINE SULFATE'],"Somerset Therapeutics, LLC",Current,,"['Anesthesia', 'Neurology', 'Pediatric']",Injection,01/01/2012,09/11/2026
Midazolam Hydrochloride Injection,['MIDAZOLAM HYDROCHLORIDE'],"Avet Pharmaceuticals, Inc.",Current,,"['Anesthesia', 'Neurology']",Injection,04/02/2020,09/01/2026
Morphine Sulfate Injection,['MORPHINE SULFATE'],"Amphastar Pharmaceuticals, Inc.",Current,,['Analgesia/Addiction'],Injection,12/06/2018,09/16/2026
Lisdexamfetamine Dimesylate Capsule,['LISDEXAMFETAMINE DIMESYLATE'],"Teva Pharmaceuticals USA, Inc.",Current,,['Psychiatry'],Capsule,07/14/2023,09/15/2026
Glycerol Phenylbutyrate Oral Liquid,['RAVICTI'],Amgen Inc.,To Be Discontinued,,['Inborn Errors'],,09/01/2026,09/01/2026
Dexamethasone Sodium Phosphate Injection,['DEXAMETHASONE SODIUM PHOSPHATE'],"Hikma Pharmaceuticals USA, Inc.",Current,,"['Dermatology', 'Endocrinology/Metabolism', 'Gastroenterology', 'Hematology', 'Neurology', 'Oncology', 'Ophthalmology', 'Other', 'Pulmonary/Allergy', 'Rheumatology']",Injection,02/08/2019,09/18/2026
Ropivacaine Hydrochloride Injection,['ROPIVACAINE HYDROCHLORIDE'],"Somerset Therapeutics, LLC",Current,,['Anesthesia'],Injection,03/23/2018,09/11/2026
Morphine Sulfate Tablet,['MORPHINE SULFATE'],"Upsher-Smith Laboratories, LLC",To Be Discontinued,,['Analgesia/Addiction'],Tablet,12/22/2025,12/22/2025
Morphine Sulfate Injection,['INFUMORPH 500'],"Hikma Pharmaceuticals USA, Inc.",Current,,['Analgesia/Addiction'],Injection,11/03/2017,09/18/2026
"Lisdexamfetamine Dimesylate Tablet, Chewable",['LISDEXAMFETAMINE DIMESYLATE'],Novadoz Pharmaceuticals LLC,Current,,['Psychiatry'],"Tablet, Chewable",07/14/2023,09/16/2026
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","['DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE']",Sandoz Inc.,Current,,['Psychiatry'],Tablet,10/12/2022,09/18/2026
Dexmedetomidine Hydrochloride Injection,['PRECEDEX'],Pfizer Inc.,Current,,['Anesthesia'],Injection,04/10/2020,09/21/2026
Sodium Bicarbonate Injection,['SODIUM BICARBONATE'],"Hospira, Inc., a Pfizer Company",Current,Other,"['Endocrinology/Metabolism', 'Gastroenterology', 'Pediatric']",Injection,03/01/2017,09/22/2026
Rifampin Injection,['RIFADIN IV'],Sanofi-Aventis U.S. LLC,To Be Discontinued,,['Anti-Infective'],Injection,04/20/2026,04/20/2026
Quinapril Hydrochloride Tablet,['QUINAPRIL'],Chartwell Molecular Holdings LLC,Current,,['Cardiovascular'],Tablet,01/19/2023,09/15/2026
Omeprazole Delayed Release Capsule,['OMEPRAZOLE'],Sandoz Inc.,To Be Discontinued,,['Gastroenterology'],,10/09/2025,10/09/2025
Lidocaine Hydrochloride Injection,['LIDOCAINE HYDROCHLORIDE AND DEXTROSE'],B. Braun Medical Inc.,Current,,['Cardiovascular'],Injection,10/25/2017,09/22/2026
